PR_ID,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
32656,156,912,477,924,4998,27376,591,18563,14656
32657,156,912,477,924,4998,27376,591,18563,14656
32658,156,912,477,924,4998,27376,591,18563,14657
32659,156,912,477,924,4998,27377,590,18564,14656
32660,156,912,477,924,4998,27377,590,18564,14656
32661,156,912,477,924,4998,27377,590,18564,14656
32662,156,912,477,924,4998,27377,590,18564,14656
32663,156,912,477,924,4998,27377,590,18564,14656
32664,156,912,477,924,4998,27377,590,18564,14656
8904,249,1671,948,1728,2268,6275,140,3034,6268
5568,195,2823,1149,3058,1843,4588,607,3384,1587
24145,760,14760,3646,14966,3432,13832,1214,6113,16843
7651,153,5285,297,5462,1603,4714,996,2947,4903
35099,297,3746,684,3883,3532,83611,2296,11204,27659
7918,153,5285,297,5462,1603,4714,996,2947,4903
7920,153,5285,297,5462,1603,4714,996,2947,4903
7922,153,5285,297,5462,1603,4714,996,2947,4903
7431,153,5285,297,5462,1603,4714,996,2947,4903
34153,297,3746,684,3883,3532,83611,2296,11204,27659
4263,96,538,100,637,1233,3728,153,1049,3749
4264,96,538,100,637,1233,3728,153,1049,3749
4265,96,538,100,637,1233,3728,153,1049,3749
45606,797,2506,2106,2541,5097,33706,496,11199,35468
45609,797,2506,2106,2541,5097,33706,496,11199,35468
7662,153,5285,297,5462,1603,4714,996,2947,4903
7664,153,5285,297,5462,1603,4714,996,2947,4903
7666,153,5285,297,5462,1603,4714,996,2947,4903
4464,96,538,100,637,1233,3728,153,1049,3749
4465,96,538,100,637,1233,3728,153,1049,3749
45451,797,2506,2106,2541,5097,33706,496,11199,35468
7391,153,5285,297,5462,1603,4714,996,2947,4903
7493,153,5285,297,5462,1603,4714,996,2947,4903
4311,91,307,207,312,4005,5242,54,944,3525
2620,56,1358,251,1397,1024,9254,83,89,3413
2624,56,1358,251,1397,1024,9254,83,89,3413
181,10,148,25,151,2766,1783,12,82,88
182,10,148,25,151,2766,1783,12,82,88
26149,1101,11658,3277,12184,2497,43519,2342,5237,19098
4324,91,307,207,312,4005,5242,54,944,3525
4325,91,307,207,312,4005,5242,54,944,3525
7798,153,5285,297,5462,1603,4714,996,2947,4903
4254,91,307,207,312,4005,5242,54,944,3525
4255,91,307,207,312,4005,5242,54,944,3525
7942,154,5285,297,5462,1603,4715,997,2947,4903
45484,797,2506,2106,2541,5097,33706,496,11199,35469
7535,154,5285,297,5462,1603,4715,997,2947,4903
217,23,128,41,139,1863,205,4,39,188
218,23,128,41,139,1863,205,4,39,188
2674,56,1358,251,1397,1024,9254,83,89,3413
907,376,32556,6997,34247,1761,10133,19,683,222
908,376,32556,6997,34247,1761,10133,19,683,222
866,78,1031,370,1040,5586,2231,11,468,392
7729,154,5285,297,5462,1603,4715,997,2947,4903
1366,28,168,59,170,5190,1988,56,218,1159
3486,65,340,112,357,2516,7695,406,704,2485
34762,297,3746,684,3883,3532,83611,2296,11204,27660
3663,546,31663,8940,32188,3606,4111,66,2347,1331
2652,1527,6819,471,7883,826,15167,56,517,2429
715,131,171,285,173,5456,1649,42,45,665
45809,797,2506,2106,2541,5097,33706,496,11199,35469
3483,65,340,112,357,2516,7695,406,704,2485
34168,297,3746,684,3883,3532,83611,2296,11204,27660
4303,91,307,207,312,4005,5242,54,944,3525
4270,91,307,207,312,4005,5242,54,944,3525
4281,88,1239,162,1302,3300,11838,75,1996,2587
4283,88,1239,162,1302,3300,11838,75,1996,2587
7771,154,5285,297,5462,1603,4715,997,2947,4903
4273,96,538,100,637,1233,3728,154,1049,3749
7645,158,36165,9989,37319,2801,5799,301,4095,2999
111,9,1991,170,2405,945,519,13,82,40
7553,154,5285,297,5462,1603,4715,997,2947,4903
4320,88,1239,162,1302,3300,11838,75,1996,2587
4260,91,307,207,312,4005,5242,54,944,3525
24528,729,799,820,825,4231,17430,1400,15816,8939
4307,91,307,207,312,4005,5242,54,944,3525
4308,91,307,207,312,4005,5242,54,944,3525
7612,158,36165,9989,37319,2801,5799,301,4095,2999
7611,154,5285,297,5462,1603,4715,997,2947,4903
7612,154,5285,297,5462,1603,4715,997,2947,4903
35372,297,3746,684,3883,3532,83611,2296,11204,27660
4463,96,538,100,637,1233,3728,154,1049,3749
1384,28,168,59,170,5190,1988,56,218,1159
4515,96,538,100,637,1233,3728,154,1049,3749
4150,27,21004,4291,21240,3294,1646,14,3877,70
35209,297,3746,684,3883,3532,83611,2296,11204,27660
5437,202,29581,10227,29711,3548,2972,145,3224,1793
2121,45,1336,458,1371,1919,6769,24,245,2046
7644,158,36165,9989,37319,2801,5799,301,4095,2999
7984,154,5285,297,5462,1603,4715,997,2947,4903
694,33,1003,102,1008,1302,709,33,32,612
695,33,1003,102,1008,1302,709,33,32,612
2127,45,1336,458,1371,1919,6769,24,245,2046
1804,122,755,172,762,3103,3099,67,865,881
1805,122,755,172,762,3103,3099,67,865,881
45796,797,2506,2106,2541,5097,33706,496,11199,35469
45800,797,2506,2106,2541,5097,33706,496,11199,35469
45801,797,2506,2106,2541,5097,33706,496,11199,35469
45806,797,2506,2106,2541,5097,33706,496,11199,35469
3648,546,31663,8940,32188,3606,4111,66,2347,1331
3649,546,31663,8940,32188,3606,4111,66,2347,1331
3650,546,31663,8940,32188,3606,4111,66,2347,1331
3651,546,31663,8940,32188,3606,4111,66,2347,1331
3652,546,31663,8940,32188,3606,4111,66,2347,1331
3653,546,31663,8940,32188,3606,4111,66,2347,1331
3654,546,31663,8940,32188,3606,4111,66,2347,1331
3656,546,31663,8940,32188,3606,4111,66,2347,1331
3657,546,31663,8940,32188,3606,4111,66,2347,1331
3659,546,31663,8940,32188,3606,4111,66,2347,1331
326,35,196,43,230,526,827,48,150,147
862,78,1031,370,1040,5586,2231,11,468,392
4337,91,307,207,312,4005,5242,54,944,3525
4338,91,307,207,312,4005,5242,54,944,3525
7619,154,5285,297,5462,1603,4715,997,2947,4903
7749,154,5285,297,5462,1603,4715,997,2947,4903
4486,96,538,100,637,1233,3728,154,1049,3749
21820,267,699,182,713,3858,25976,1307,6219,14704
21822,267,699,182,713,3858,25976,1307,6219,14704
21823,267,699,182,713,3858,25976,1307,6219,14704
21824,267,699,182,713,3858,25976,1307,6219,14704
8029,154,5285,297,5462,1603,4715,997,2947,4903
7397,154,5285,297,5462,1603,4715,997,2947,4903
35632,297,3746,684,3883,3532,83611,2297,11204,27660
4322,91,307,207,312,4005,5242,54,944,3525
5419,202,29581,10227,29711,3548,2972,145,3224,1793
35422,297,3746,684,3883,3532,83611,2297,11204,27660
45590,797,2506,2106,2541,5097,33706,496,11199,35469
200,10,298,80,339,592,606,7,13,262
7423,154,5285,297,5462,1603,4715,997,2947,4903
7425,154,5285,297,5462,1603,4715,997,2947,4903
7744,154,5285,297,5462,1603,4715,997,2947,4903
4268,91,307,207,312,4005,5242,54,944,3525
489,20,463,43,477,4127,2778,85,131,281
34672,297,3746,684,3883,3532,83611,2297,11204,27660
35143,297,3746,684,3883,3532,83611,2297,11204,27660
3,3,105,5,114,135,16,1,0,4
8663,530,4102,2235,4189,5124,14764,0,0,8936
4378,96,538,100,637,1233,3728,154,1049,3749
4379,96,538,100,637,1233,3728,154,1049,3749
4382,96,538,100,637,1233,3728,154,1049,3749
4383,96,538,100,637,1233,3728,154,1049,3749
4385,96,538,100,637,1233,3728,154,1049,3749
4387,96,538,100,637,1233,3728,154,1049,3749
4388,96,538,100,637,1233,3728,154,1049,3749
4389,96,538,100,637,1233,3728,154,1049,3749
4390,96,538,100,637,1233,3728,154,1049,3749
35888,297,3746,684,3883,3532,83611,2297,11204,27660
111,56,109,91,122,807,572,5,45,63
35889,297,3746,684,3883,3532,83611,2297,11204,27660
4310,91,307,207,312,4005,5242,54,944,3525
7611,158,36165,9989,37319,2801,5799,301,4095,2999
13751,339,1161,987,1189,3979,54802,0,0,13871
694,60,609,134,619,3922,3994,7,319,508
697,60,609,134,619,3922,3994,7,319,508
715,60,609,134,619,3922,3994,7,319,508
669,33,204,178,218,2347,653,53,199,423
510,54,155,67,165,1207,1690,0,208,315
700,60,609,134,619,3922,3994,7,319,508
716,60,609,134,619,3922,3994,7,319,508
727,60,609,134,619,3922,3994,7,319,508
732,60,609,134,619,3922,3994,7,319,508
3553,275,63892,5443,70098,1028,4170,352,1116,3250
274,34,186,61,189,3922,1786,1,111,225
655,45,420,87,430,3922,3945,2,307,402
508,54,155,67,165,1207,1690,0,208,315
517,54,155,67,165,1207,1690,0,208,315
532,54,155,67,165,1207,1690,0,208,315
327,22,428,110,429,4457,2342,2,23,333
13754,339,1161,987,1189,3979,54802,0,0,13871
3990,275,63892,5443,70098,1028,4170,352,1116,3250
2211,112,11894,1070,12295,5495,2451,567,858,812
904,413,186,46,278,401,22146,50,392,1176
16117,448,5851,1401,5961,4202,14330,1483,1712,14012
2540,412,3306,417,3668,4816,18367,405,972,173
3622,275,63892,5443,70099,1028,4170,352,1116,3250
706,60,609,134,619,3922,3994,7,319,508
707,60,609,134,619,3922,3994,7,319,508
713,60,609,134,619,3922,3994,7,319,508
717,60,609,134,619,3922,3994,7,319,508
719,60,609,134,619,3922,3994,7,319,508
726,60,609,134,619,3922,3994,7,319,508
729,60,609,134,619,3922,3994,7,319,508
735,60,609,134,619,3922,3994,7,319,508
686,45,420,87,430,3922,3945,2,307,402
120,3,283,82,286,5083,519,25,53,32
705,60,609,134,619,3922,3994,7,319,508
711,60,609,134,619,3922,3994,7,319,508
526,54,155,67,165,1207,1690,0,208,315
10,4,106,85,111,3054,176,0,0,16
701,60,609,134,619,3922,3994,7,319,508
704,60,609,134,619,3922,3994,7,319,508
720,60,609,134,619,3922,3994,7,319,508
721,60,609,134,619,3922,3994,7,319,508
731,60,609,134,619,3922,3994,7,319,508
733,60,609,134,619,3922,3994,7,319,508
734,60,609,134,619,3922,3994,7,319,508
119,3,283,82,286,5083,519,25,53,32
2138,108,1319,422,1416,1732,4535,301,1357,631
153,10,328,31,330,1924,541,75,51,20
224,32,746,52,831,912,650,46,119,94
175,41,1854,372,1880,4444,682,7,68,116
702,60,609,134,619,3922,3994,7,319,508
703,60,609,134,619,3922,3994,7,319,508
725,60,609,134,619,3922,3994,7,319,508
584,9,368,193,423,1341,71,156,488,19
8572,293,951,553,1081,2241,9745,0,0,9123
1113,1193,146,389,163,830,22548,5,59,1537
698,60,609,134,619,3922,3994,7,319,508
712,60,609,134,619,3922,3994,7,319,508
722,60,609,134,619,3922,3994,7,319,508
3993,275,63892,5443,70099,1028,4170,352,1116,3250
708,60,609,134,619,3922,3994,7,319,508
709,60,609,134,619,3922,3994,7,319,508
710,60,609,134,619,3922,3994,7,319,508
714,60,609,134,619,3922,3994,7,319,508
723,60,609,134,619,3922,3994,7,319,508
724,60,609,134,619,3922,3994,7,319,508
730,60,609,134,619,3922,3994,7,319,508
5560,229,6182,2867,6664,4966,9401,395,4175,1114
3992,275,63892,5443,70099,1028,4170,352,1116,3250
160,29,107,38,111,3922,557,1,26,139
514,54,155,67,165,1208,1690,0,208,315
518,54,155,67,165,1208,1690,0,208,315
523,54,155,67,165,1208,1690,0,208,315
1876,93,898,118,915,1430,3659,133,538,1268
503,10,2250,234,2303,1881,816,7,482,32
718,60,609,134,619,3922,3994,7,319,508
728,60,609,134,619,3922,3994,7,319,508
156,22,428,110,429,4457,2342,2,23,333
515,54,155,67,165,1208,1690,0,208,315
516,54,155,67,165,1208,1690,0,208,315
1381,28,168,59,170,5190,1988,56,218,1160
1001,55,557,132,565,3962,5652,21,420,790
1002,55,557,132,565,3962,5652,21,420,790
1003,55,557,132,565,3962,5652,21,420,790
1004,55,557,132,565,3962,5652,21,420,790
1005,55,557,132,565,3962,5652,21,420,790
1006,55,557,132,565,3962,5652,21,420,790
1007,55,557,132,565,3962,5652,21,420,790
1008,55,557,132,565,3962,5652,21,420,790
1018,55,557,132,565,3962,5652,21,420,790
5272,212,670,388,679,5089,54107,0,0,5364
696,60,609,134,619,3922,3994,7,319,508
699,60,609,134,619,3922,3994,7,319,508
151,29,107,38,111,3922,557,1,26,139
160,22,428,110,429,4457,2342,2,23,333
1141,55,557,132,565,3962,5652,21,420,790
154,41,1854,372,1880,4444,682,7,68,116
1077,55,557,132,565,3962,5652,21,420,790
1081,55,557,132,565,3962,5652,21,420,790
339,22,428,110,429,4457,2342,2,23,333
152,10,328,31,330,1924,541,75,51,20
2,2,133,26,160,312,127,4,6,16
3944,257,2372,1649,2427,3550,2892,21,1724,2210
523,73,5261,949,5485,4664,1228,33,323,161
695,60,609,134,619,3922,3994,7,319,508
2092,104,1609,171,1671,2158,2153,304,625,1193
61219,550,10390,2065,10917,1538,22801,495,8589,56569
243,113,17637,4388,18145,2394,2513,4,147,95
14037,672,10890,3176,11236,3655,13269,352,2178,12808
61394,550,10390,2065,10917,1538,22801,495,8589,56569
61403,550,10390,2065,10917,1538,22801,495,8589,56569
895,376,32556,6997,34246,1761,10133,19,683,222
906,376,32556,6997,34246,1761,10133,19,683,222
14258,672,10890,3176,11236,3655,13269,352,2178,12808
61244,550,10390,2065,10917,1538,22801,495,8589,56569
31,3,103,24,103,3449,91,0,10,21
6,1,741,163,1181,212,16,5,2,2
61248,551,10390,2065,10917,1538,22804,495,8589,56576
909,376,32556,6997,34246,1761,10133,19,683,222
464,7,318,255,319,2008,510,1,12,468
1323,47,480,71,490,4279,3751,3,124,1320
1325,47,480,71,490,4279,3751,3,124,1320
